Name,Company_Name,Expiry_date,Quantity
advil.,Retimed,"Jan, 2021",26
afluria.,Cipla,"May, 2021",0
albuterol.,Schering,"Jan, 2021",7
alprazolam.,Glaxosmithkline,"Jun, 2021",35
alteplase.,Glenmarks,"May, 2022",49
amoxicillin.,Virtus,"May, 2022",24
aspirin.,Bayer,"Jan, 2021",18
ativan.,Cipla,"Mar, 2021",48
baclofen.,Cipla,"Feb, 2022",0
benadryl.,Benadryl,"Aug, 2020",47
benzonatate.,Virtus,"Aug, 2021",26
benztropine.,Ritemed,"Apr, 2022",3
biotin.,Natrol,"Sept, 2021",7
bisacodyl.,Jarrow,"Oct, 2020",0
bromfed.,Wockhardi,"Nov, 2021",0
buprenorphine.,Aquarium,"May, 2022",38
calcitriol.,Falcon Pharmaceuticals,"Oct, 2021",11
cephalexin.,Virtus,"Jan, 2022",0
cetrizine.,Glaxosmithkline,"Feb, 2022",5
ciproflaxin.,Cipla,"May, 2021",0
claritin.,Ranbaxy,"Nov, 2021",1
clozaril.,Cipla,"Jan, 2021",24
dapsone.,Ritemed,"Dec, 2020",9
demerol.,Ranbaxy,"Mar, 2021",56
diazepom.,Schering,"Oct, 2021",10
durezol.,Emedz,"Dec, 2020",0
gabapentin.,Glenmarks,"Dec, 2021",7
garamycin.,Dr. Reddy's,"Apr, 2022",27
genotropin.,Sandoz,"Feb, 2021",17
glucagen.,Rising,"Mar, 2022",0
glycopyrrolate.,Emedz,"Sept, 2021",6
guanfacine.,Natrol,"May, 2022",32
labetlol.,Cipla,"May, 2021",0
lamotrigine.,Ranbaxy,"Aug, 2021",4
letrozole.,Rising,"Oct, 2021",7
levaquin.,Natrol,"Nov, 2020",3
lidocaine.,Rising,"Feb, 2021",3
lisinopril.,Pack Pharmaceutical Ltd,"Sept, 2021",29
loperamide.,Ranbaxy,"Jul, 2021",0
macrodantin.,Emedz,"Jul, 2021",43
mecilizine.,Virtus,"Jul, 2021",24
melatonin.,Ritemed,"May, 2021",36
methocarbamal.,Cipla,"Sept, 2020",13
methylprednisolone.,Schering,"May, 2022",7
mirtazapine.,Cipla,"May, 2022",47
modafinil.,Dr. Reddy's,"Jan, 2021",37
mucinex.,Ranbaxy,"May, 2022",32
novazol.,Cipla,"Jun, 2021",0
ocuvite.,Zemex,"Jun, 2021",13
ofloxacin.,Glaxosmithkline,"Dec, 2021",16
olanzapine.,Falcon Pharmaceuticals,"Mar, 2021",34
omeprazole.,Ritemed,"Jun, 2021",7
omnicef.,Cipla,"Apr, 2022",19
orbactiv.,Natrol,"Jul, 2022",0
oxacilin.,Armstrong,"Feb, 2022",2
oxandrolone.,Raltair,"Aug, 2021",31
senispar.,Jetmeds,"Apr, 2022",46
seroquel.,Apotex Corp,"Nov, 2021",0
sertraline.,Ranbaxy,"Nov, 2021",3
skelaxin.,Zemex,"Dec, 2021",16
sotalol.,Symphonic,"Oct, 2021",0
spironolactone.,Allergan,"Apr, 2021",0
sucralfate.,Emedz,"Oct, 2020",32
sulfasalzine.,Cipla,"May, 2022",55
ubiquinone.,Jetmeds,"Mar, 2022",37
ubrogepant.,Glaxosmithkline,"Sept, 2021",13
ulipristal.,Pharmax,"May, 2021",2
umeclidinium.,Allergan,"Jan, 2022",8
unithroid.,Ritemed,"Apr, 2021",1
upadacitinib.,Emedz,"Feb, 2022",41
vancomycin.,Apotex Corp,"Mar, 2022",3
vedolizumab.,Symphonic,"Jan, 2021",5
venlafaxine.,Oakaron,"Jul, 2021",4
ventolin.,Allergan,"May, 2022",40
vicoprofen.,Sandus,"Apr, 2021",20
vilazodone.,Pharmerz,"Nov, 2020",0
warfarin.,Raltair,"Apr, 2021",35
westcort.,Zemex,"Dec, 2020",0
yuvafem.,Edmez,"Mar, 2022",21
